,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 22:37:40+00:00,"attorney general david eby calls icbc . billion loss ""dumpster fire"" canadanewsmedia","[22.22934847678133, 30.964307178725647, -11.849195286778844]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 22:00:35+00:00,trust tedcorvsupplies langley. an icbc approved repair shop &amp; bbb accredited podcast sponsor,"[42.324474834459444, 32.87760002285713, -11.433298060064686]"
3,3,2019-01-01 21:37:59+00:00,cruelboyy icbc,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
4,4,2019-01-01 21:29:17+00:00,franktmcveety robmeekel lets forget icbc hikes food hikes etc etc.,"[17.22785255482395, 8.239153231161694, -10.956947381225127]"
5,5,2019-01-01 21:11:15+00:00,"critiklthinking icbc thanks derek, happy new year you","[1.3964912565023375, -7.732357103785187, -14.42244693850208]"
6,6,2019-01-01 20:32:56+00:00,the bcndp wants be the banking business. fix icbc first. neverndp bcpoli,"[22.00229243331383, 32.261560371898454, -10.410835381139634]"
7,7,2019-01-01 20:19:42+00:00,jtrudeaus charliekuss no peace in a gang ridden society. icbc crime,"[8.275884772629848, -0.9063806473686573, -11.49511766428261]"
8,8,2019-01-01 19:35:08+00:00,"odienewwest jjhorgan what slashing msp premiums? largest tax cut b.c. history there. one year they totally eliminated british columbia’s better it. lao, the extra spending and still balanced budget without pilfering crown corporations like icbc.","[41.4802168071672, 42.76837445088596, -12.16971313341871]"
9,9,2019-01-01 19:26:00+00:00,a spokesman province’s insurance authority saying the message regarding drinking driving remains relevant. acumenlaw autoinsurance insurance icbc claims,"[60.14813087792696, 33.04616646053279, 1.2524334442231435]"
10,10,2019-01-01 18:25:51+00:00,"jjhorgan what stalling housing market, adding taxes, increasing icbc rates? taking credit reaching our pockets more, more, greedy getfinancialsavey","[35.54537976467977, 56.02209675518082, 1.0210278125454693]"
11,11,2019-01-01 17:33:02+00:00,wallace drive is road portion centennial trail the saanich peninsula cyclists not need beg respect cyclinfg saanichpolice icbc yyjtraffic yyj,"[27.476708054910713, 9.298138224043, -11.887386290145344]"
12,12,2019-01-01 17:03:05+00:00,"rt icbc happy new year please note all icbc locations closed today, except dial claim learn","[40.94775432298011, 26.980996662535674, -11.07353603388411]"
13,13,2019-01-01 17:02:38+00:00,start newyears right planning saferidehome. the vpd out day night watch drivers impaired alcohol drugs. counterattack dontdrinkanddrive icbc maddonline,"[38.349155942897845, 28.36907091290668, -10.161914082456747]"
14,14,2019-01-01 17:01:57+00:00,"happy new year please note all icbc locations closed today, except dial claim learn","[40.94775432298011, 26.980996662535674, -11.07353603388411]"
15,15,2019-01-01 16:36:43+00:00,bc attorney general address icbc huge financial losses am pt canadanewsmedia,"[29.917995706798646, 21.20123009862003, -10.41774622785426]"
16,16,2019-01-01 16:30:55+00:00,"drivesmartbc no suggestions, curious. looking forward hearing icbc months see actuals. hopefully start releasing comprehensive reports that one t to make foi data wait year for answers. happy new year tim","[40.29060855226901, 29.505638613293613, -11.874501077846574]"
17,17,2019-01-01 16:27:04+00:00,"critiklthinking i took most recent years icbc reported totals, averaged, divided and use to increment total based the date. crude, that my skill level. suggestions??","[36.92129516729451, 37.19813025853523, -8.34151863887898]"
18,18,2019-01-01 16:03:45+00:00,jjhorgan except another pointless carbon tax coming icbc rates going so exactly i saving money,"[27.75673298214871, 20.60675479413483, 0.8221975171426124]"
19,19,2019-01-01 15:29:56+00:00,very well written letter regarding icbc fiasco.,"[44.18913784710434, 32.78546562280849, -11.15887232553576]"
