,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 22:00:08+00:00,mne case samsung electronics entre the chinese market. college essay topic help essay dissertation homework thesis assignment college writing,"[79.39624524772883, 40.368584917074685, 3.0691401910460883]"
1,1,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
2,2,2019-01-01 21:44:07+00:00,"m reiterer dreynders federicamog thebluehousekr if samsung electronics refuses commit timely contractual solution limjh, amb. bontemps spouse allegedly stationed ezaharievamfa forever regret they t get a financer a private art project vienna","[51.1815049567956, 44.369414512444976, 11.774516073162559]"
3,3,2019-01-01 19:56:33+00:00,"“samsung electronics president young sohn today sketched almost dystopian future which every detail life — the way to individual dna — tracked vast ""bio data banks"" store your genome . . . .”","[54.62898461127819, 43.18880696768329, 12.196869211909316]"
4,4,2019-01-01 19:21:36+00:00,"bestbuy false advertises samsung ""swim ready, water resistant; pool &amp; shower"" nope water gets in, watch breaks, samsung voids warranty. star reviews support this. it is not waterproof be warned bestbuy samsung electronics technology health","[58.991141049161875, 60.28688386696814, 2.362299889125623]"
5,5,2019-01-01 11:10:38+00:00,"samsung electronics co., ltd. jumped . jan","[10.848044681126314, 1.0243901677169478, 0.20304952940174914]"
6,6,2019-01-01 11:09:31+00:00,"samsung electronics co., ltd. increases . jan","[10.848044681126314, 1.0243901677169478, 0.20304952940174914]"
7,7,2019-01-01 10:29:28+00:00,"according the world intellectual property indicators , japan’s canon created , patent families , followed samsung electronics , and the state grid corporation china.","[88.1145672119344, 60.25538334375197, 25.787776872046763]"
8,8,2019-01-01 07:58:45+00:00,[monitor] samsung electronics no. patent applications worldwide,"[55.05747570142025, 35.53722144327782, 1.793855802657724]"
9,9,2019-01-01 07:50:21+00:00,"taehyung bts samsung vs sm this screen belongs samsung electronics, sm. why the media report incorrectly?","[30.52989700554024, 41.59177317557134, -10.829832550076645]"
10,10,2019-01-01 07:46:36+00:00,"insight co kr kthdatabase this screen belongs samsung electronics, sm. why the media report incorrectly?","[28.948422671846455, 20.97594787677118, -10.441914712574103]"
11,11,2019-01-01 07:33:18+00:00,"check this amazon deal samsung electronics xec chromebook gb ram gb ssd laptop, ."" samsung via amazon","[93.65108821773397, 54.422419900794125, 2.1583159881058407]"
12,12,2019-01-01 04:34:22+00:00,"samsung electronics unnafxza ″ p smart led tv , black","[21.648245572487742, 18.228817584275127, 0.5003638946874389]"
13,13,2019-01-02 22:38:34+00:00,"retail finance, senior specialist samsung electronics canada inc. mississauga, on ""role responsible managing full cycle account payables, handling reconciliations providing financial reports samsung experience stor.. eluta","[64.84801786128652, 65.60560495579178, 1.8634121754959523]"
14,14,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
15,15,2019-01-02 21:59:55+00:00,samsung electronics to cut chip inventory amid oversupply,"[21.743023464773827, 12.33240530339145, 0.8679575358969238]"
16,16,2019-01-02 21:58:28+00:00,.kr will cut chip inventory due oversupply korean press samsung electronics more,"[52.9536283750069, 34.20914014565071, 1.7534921367852263]"
17,17,2019-01-02 20:34:24+00:00,"samsung electronics sm tnzkaxar galaxy tab s, ."" blk via youtube","[20.283115080748853, 10.58552021955851, -0.43235631155174303]"
18,18,2019-01-02 18:15:48+00:00,tip stocks seriously consider john hancock blue chip growth jibcx amazon amzn unitedhealth group unh visa v causeway emerging markets cemvx itaú itub samsung electronics ssnlf ptt putry ...,"[77.15483849672033, 67.16812615282788, 12.703803401769662]"
19,19,2019-01-02 18:05:07+00:00,"global smart kitchen appliances market samsung electronics, whirlpool corporation, ab electrolux lg electronics","[57.703900723927184, 47.17783170951387, -1.2414728222866245]"
20,20,2019-01-02 17:00:02+00:00,i sorry you a undiagnosable subsystem destabilisation fault. please call samsung electronics,"[18.1325456450685, 1.2699193530687007, -0.37763983583578664]"
21,21,2019-01-02 16:33:04+00:00,"new apk samsung internet browser ... samsung electronics co., ltd.","[19.57705540135504, 9.943999061302272, 0.8405835465648224]"
22,22,2019-01-02 16:26:59+00:00,samsung electronics leads autonomous driving related patent applications europe,"[66.32159693817638, 56.87659627542452, 2.2550347391798695]"
23,23,2019-01-02 16:02:03+00:00,"samsungelectronics supports innovative projects related ai its c lab, in house ideaincubation programme encourages creative corporate culture nurtures innovative ideas samsung employees","[55.82464849028053, 68.02068355982966, -10.73223429064008]"
24,24,2019-01-02 15:25:14+00:00,samsung electronics unmu curved inch k ultra hd smart led tv model televisions &amp; video,"[56.27493261486875, 74.26940172589268, 1.5369579530628954]"
25,25,2019-01-02 15:00:19+00:00,"samsung electronics expands partnerships certification centers, building hdr ecosystem","[20.51647354889268, 0.30307211019031, 0.658121461585905]"
26,26,2019-01-02 14:01:30+00:00,"wireless power transmission technology global market qualcomm, samsung electronics, nucurrent via industrytoday","[65.44612820082249, 46.75434809590304, -10.48804479110008]"
27,27,2019-01-02 13:34:21+00:00,samsung samsung electronics,"[10.716043610173955, 0.5603518298555001, 0.39681135246334165]"
28,28,2019-01-02 12:35:39+00:00,ipr news . multiple microsoft patents point xbox one controller improvements . samsung electronics no. patent applications worldwide . patents reveal apple looking “smart fabric”,"[86.2652810631863, 56.308084599411984, 2.066146786400978]"
29,29,2019-01-02 12:30:19+00:00,"samsung electronics expands partnerships certification centers, building its hdr ecosystem","[20.599648463090077, 0.19899654874834338, 0.6606559398023357]"
30,30,2019-01-02 09:36:06+00:00,samsung electronics ranks second patent applications worldwide businesskorea visits,"[57.01162532039921, 46.46801236897924, 1.981554094437044]"
31,31,2019-01-02 09:27:00+00:00,second largest patent holder samsung electronics world no. owner patents and report,"[53.42296522514307, 23.078980857326435, 1.6952434494543382]"
32,32,2019-01-02 07:22:07+00:00,samsung electronics no. patent applications worldwide the korea herald | asianewsnetwork eleven myanmar visits,"[78.8088320723479, 70.75989583674495, 14.510335264103816]"
33,33,2019-01-02 06:12:05+00:00,samsung electronics no. patent applications worldwide the korea herald | asianewsnetwork eleven myanmar,"[67.6221077725093, 59.57317153690633, 14.115493762356735]"
34,34,2019-01-02 05:35:28+00:00,watch samsung electronics became world no. advertiser last year report,"[27.378170635898957, 9.271432312309116, 1.5504469671983543]"
35,35,2019-01-02 04:36:12+00:00,samsung electronics unmud inch k ultra hd smart led tv cmr tv television,"[46.13869511220202, 64.82631140378588, 12.761342495265026]"
36,36,2019-01-02 03:04:13+00:00,south korean technology giant samsung electronics co ltd adjusting strategy china it closed one its smartphone manufacturing plants tianjin plans invest us . billion...,"[87.22771754083033, 68.62942316111585, 2.471743479667211]"
37,37,2019-01-02 02:55:36+00:00,samsung electronics plans invest . billion build new battery capacitor plants tianjin.,"[42.580513948618666, 22.410855000874733, 1.518577195655972]"
38,38,2019-01-02 02:50:02+00:00,samsung electronics plans invest . billion build new battery capacitor plants tianjin.,"[42.580513948618666, 22.410855000874733, 1.518577195655972]"
39,39,2019-01-03 22:41:42+00:00,samsung electronics installs world’s largest indoor airport led signage the new istanbul airport,"[50.79798931048746, 39.61799382866747, 2.33055754591237]"
40,40,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today","[47.89572620600869, 21.31396692234739, -11.81298254471514]"
41,41,2019-01-03 19:22:44+00:00,"i posted goal . samsung electronics co., ltd.","[20.35185644413858, 20.86166049282727, 0.6130284724956034]"
42,42,2019-01-03 19:03:40+00:00,"global cloud radio access network c ran market – nokia corporation finland , cisco systems, inc. us , samsung electronics co. ltd. south korea – industry research now cloudnetwork saas","[116.62224408848677, 80.26145668606415, 14.61909183258966]"
43,43,2019-01-03 17:21:04+00:00,"new apk goal . samsung electronics co., ltd.","[11.241074854829975, 10.476144106287286, 0.40921481791336944]"
44,44,2019-01-03 17:09:23+00:00,m reiterer gustavklimt art leopold museum dreynders samsungtomorrow thebluehouseeng thebluehousekr . m reiterer without simply conducting basic observations conducted lead the person inside intelligence eu federicamog mina andreeva in position make statements samsung electronics spy &amp; terror threats diplomaticruleoflaw,"[79.54785323463075, 102.50745508622819, 37.09518377259137]"
45,45,2019-01-03 16:39:03+00:00,"china launches dram chip price probe samsung elec, sk hynix… china launched probe samsung electronics co ltd , sk hynix inc micron technology inc , three semiconductor makers control market dram memory chips. …","[126.68324268466307, 119.0991260665633, 15.342609131543597]"
46,46,2019-01-03 16:31:04+00:00,"new apk samsung keyboard neural beta ... samsung electronics co., ltd.","[20.09499849288989, 8.90379753479057, 1.107212209818769]"
47,47,2019-01-03 16:30:05+00:00,"china launches dram chip price probe samsung elec, sk hynix… china launched probe samsung electronics co ltd , sk hynix inc micron technology inc , three semiconductor makers control market dram memory chips. …","[126.68324268466307, 119.0991260665633, 15.342609131543597]"
48,48,2019-01-03 16:15:00+00:00,samsung electronics,"[10.716043610173955, 0.5603518298555001, 0.39681135246334165]"
49,49,2019-01-03 15:44:12+00:00,samsung electronics unja inch p smart led tv model,"[34.597063807458085, 41.58244465421063, 0.8481998899589485]"
50,50,2019-01-03 15:36:34+00:00,"g global supply chains mediatek, hisilicon qualcomm together dominate of global mobile chipset market, this generate momentum npu, samsung electronics china unisoc also likely adopt npu their new mobile socs .","[87.55304755786487, 79.3683430544901, 14.916840823649082]"
51,51,2019-01-03 14:38:59+00:00,"appl trading nearly open, stocks exposed the tech giant leading indexes lower around the world. the shenzhen a share slipped . taiwan’s taiex down . . aapl competitor samsung electronics dropped ,","[116.79979364302292, 68.80630237241816, 1.8376987005589598]"
52,52,2019-01-03 14:19:22+00:00,can picture possibilities datamonetization samsung samsung electronics america?check this datajob,"[9.871900485436445, 0.27736464291564955, 0.5333365539115071]"
53,53,2019-01-03 14:09:56+00:00,samsung electronics,"[10.716043610173955, 0.5603518298555001, 0.39681135246334165]"
54,54,2019-01-03 12:43:22+00:00,tech technology electronics computers gadgets samsung electronics said thursday has clinched deal german carmaker audi ag supply automotive processors designed in vehicle information entertainment systems.,"[122.22338897739388, 94.58269855475679, 27.759512294024418]"
55,55,2019-01-03 10:32:09+00:00,. best price samsung electronics hmd odyssey windows mixed reality headset wirel,"[24.712699563207995, 20.632633673000733, -0.5169203163888199]"
56,56,2019-01-03 10:10:47+00:00,"samsung electronics first automotive branded processor, exynos auto v power audi’s next generation vehicle infotainment, is expected make debut","[64.45387728529353, 34.43431435603574, 13.673846363151512]"
57,57,2019-01-03 08:12:45+00:00,[job] kam retail audio video tv | company samsung electronics | location las condes rm chile | las condes electronic engineering jobs | more info,"[93.5578740098333, 98.21909753529019, 15.86902013053502]"
58,58,2019-01-03 08:07:10+00:00,"find great deals cape jewelry pawn samsung ″ tv model lnatfxza a remote only .. see item, browse . to buy item, visit country club stores. tv samsung electronics pawnelectronics pawnshop capepawn","[56.20658485987257, 83.88808245833097, 13.601603570372518]"
59,59,2019-01-03 07:12:42+00:00,"samsung electronics first automotive branded processor, exynos auto v, been selected power audi’s next generation vehicle infotainment ivi system, is expected make debut . samsung exynos audi","[64.70409728768365, 34.77628645303949, 13.647846584401549]"
60,60,2019-01-03 06:55:08+00:00,samsung electronics qnqfamfxza inch k ultra hd smart led tv model,"[44.965349004035886, 63.6354213586131, 0.8975571526180914]"
61,61,2019-01-03 05:34:26+00:00,"samsung electronics unnafxza "" p smart led tv , black","[21.648245572487742, 18.228817584275127, 0.5003638946874389]"
62,62,2019-01-03 04:22:50+00:00,samsung supply nanometre v chips audi cars samsung electronics auto exynos v…,"[54.33636494211999, 34.83365462098421, 1.2315845780103984]"
63,63,2019-01-03 02:17:49+00:00,samsung electronics no. patent applications worldwide the korea herald | asianewsnetwork eleven myanmar...,"[67.6221077725093, 59.57317153690633, 14.115493762356735]"
64,64,2019-01-04 22:29:33+00:00,"new apk samsung voice recorder ... samsung electronics co., ltd.","[10.631040790792383, -0.560160167306933, 0.35569576413295323]"
65,65,2020-09-02 19:07:50+00:00,"clearest epoxy ever. you’re going learn inside details that you don’t want to miss how get the most glass like clear coat you’ve ever seen, stay tuned more free training stonecoatcountertops epoxy stonecoatepoxy","[55.879079749543216, 56.68850159428602, -8.921236834557888]"
66,66,2019-01-04 20:10:57+00:00,"specialist, financial analyst samsung electronics canada inc. mississauga, on ""financial analyst accountable managing standard cost files, developing p l simulation tools well supporting month end accounting activities..."" eluta","[68.18422867209009, 67.02190180795363, 13.391336985636897]"
67,67,2019-01-04 19:04:07+00:00,samsung electronics unjc inch p led tv model,"[33.149120866388834, 32.00515826680613, 1.6573311925378036]"
