,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:52:33+00:00,kayleighmcenany realdonaldtrump thestoryfnc foxnews elizabeth warren right the middle a malasian scandal involving goldman sachs malasian govt. wait this get blurted all social media.,"[62.07829460581589, 52.183545810958236, -9.10584934496481]"
1,1,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
2,2,2018-12-31 23:51:24+00:00,really russia enemy the west us ?...think twice; goldman sachs jp morgan the largest investment banks the country. russia central bank works closely the imf the bis bank international settlements .,"[98.73702367746567, 85.94199425258161, -7.794402548672949]"
3,3,2018-12-31 23:24:51+00:00,goldmansachs peterchernin such balls sachs,"[-0.4167929811380866, -1.1728344096192704, -11.763818536142463]"
4,4,2018-12-31 23:22:12+00:00,"frank bitchylaughter johncarltonking tomcarmodycs cptjinglepants omolochris cindipargressiv grimeandreason mummu nofascistlies mymeows ms msmarshas waldene sallyalbright bottlesofpolish richmondrquette voterengaged leon rafitaaa gop thedemocrats the goldman sachs transcripts, perhaps?","[29.43412952198288, 19.96381105124673, -10.412258759386894]"
5,5,2018-12-31 23:21:37+00:00,the malaysia scandal is starting look dire goldman sachs,"[-2.617523739786331, -2.4904294150813873, -11.074100470115738]"
6,6,2018-12-31 23:18:07+00:00,kushner didn’t disclose ties soros thiel goldmansachs that owes billion loans ... ht tiffanylive,"[21.631989298968957, 31.560428462018322, -10.863566607378445]"
7,7,2018-12-31 23:14:21+00:00,what would make space industry advance faster? aerospace bankofamerica financingforthespaceindustry goldmansachs institutionalinvestmentcommunity morganstanley officeofspacecommerce publiclytradedspacecompanies satellitefleets,"[9.49389180300044, 18.74038969726442, -10.704080877580985]"
8,8,2018-12-31 23:07:13+00:00,"we wanted woman president, not one was cozy goldman sachs. a massive smear campaign leftists followed the switch sanders. many the left still prefer sanders good reasons. but be good reset a lot bs narratives.","[30.863720315864942, 71.71834655218872, -0.5678978759899991]"
9,9,2018-12-31 23:07:04+00:00,"the biggest movers include goldman sachs, merck amd","[9.453085472215763, 8.671726235750288, -11.248933013413016]"
10,10,2018-12-31 22:57:38+00:00,goldmansachs how that little issue mdb going?,"[6.618211867421711, 9.261878232582383, -11.231275426830862]"
11,11,2019-01-01 23:59:49+00:00,eventbinance binance goldmansachs etoro twittersupport twitter twitterau i still getting unwanted annoying promoted ads like one if staff follow promoted ads policy is supposed be sent tailored users?,"[23.269178295797804, 29.99363969892204, -10.766280308653066]"
12,12,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
13,13,2019-01-01 23:59:45+00:00,realdonaldtrump low oil prices ultimately drag the economy not necessarily net benefit. surely someone goldman sachs explain to you?,"[66.84447959527793, 40.447569798283965, 2.7679903687114376]"
14,14,2019-01-01 23:57:18+00:00,eventbinance binance goldmansachs etoro why you continue send unwanted annoying boring promoted ads you refuse answer tweets?,"[35.263352516082456, 33.357306531478166, -13.291734299221645]"
15,15,2019-01-01 23:55:15+00:00,realdonaldtrump what tax cut billion dollar year tax cut you the gop gave goldman sachs,"[41.07306277999855, 21.89698686838358, -10.799660469844852]"
16,16,2019-01-01 23:51:36+00:00,"once again, black women the wealth management industry available insights. way not keep inclusive goldmansachs","[36.99310673351261, 21.947391728900428, 2.163341192915638]"
17,17,2019-01-01 23:35:30+00:00,justinyantis ashleyfeinberg also it’s fact obama got cabinet the suggestion goldman sachs. does seem like uncorrupted behavior?,"[7.360824993090593, 21.55091334826701, -11.226547313554093]"
18,18,2019-01-01 23:33:42+00:00,the malaysia scandal is starting look dire goldman sachs – rolling stone via shareaholic,"[29.033106654845074, -1.0129279956017219, 1.1328304918288836]"
19,19,2019-01-01 23:32:23+00:00,mzjacobson dan kammen about discussing openly the biggest shareholder/investors us fossil fuels including warren buffett billgates mtbarra ford goldmansachs fidelity vanguard group chevron shell exxonmobil,"[51.94544645368365, 62.147638733686414, 2.6402731705265268]"
20,20,2019-01-01 23:27:18+00:00,justinyantis ashleyfeinberg well a candidate voted republicans than dems less safe seats kinda shows. plus loves wall street i don’t want another president call goldman sachs ask cabinet suggestions like obama did.,"[49.789511347259825, 87.77484931804126, -10.306502724178657]"
21,21,2019-01-01 23:21:13+00:00,the mdb malaysia scandal is starting look dire goldman sachs. a pioneering twist third world corruption might the biggest scandal th...,"[18.901082046990428, 16.993316364310708, -10.17773820461666]"
22,22,2019-01-02 23:58:29+00:00,dow jones stock list goldman sachs leads worst of data center,"[50.95322348264541, 65.50176014461587, -11.382920846239443]"
23,23,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
24,24,2019-01-02 23:58:05+00:00,"gsk news goldman sachs group analysts give glaxosmithkline gsk gbx , price target","[8.417368075704854, 18.521385648675867, -10.76778484370687]"
25,25,2019-01-02 23:54:02+00:00,"mikel jollett jeez, y’all, us didn’t like hillary she seemed be wedded goldman sachs is daughter, literally . i still voted her general, mind you. if liz maintain the kickass standard of this opening salvo, i all","[1.3815178665038175, 42.51768072106016, 10.504127861611707]"
26,26,2019-01-02 23:53:50+00:00,revisiting themes in goldman sachs’ crossword style hedge wallst,"[10.003135455117437, 19.18075103635019, -10.97610035254911]"
27,27,2019-01-02 23:36:04+00:00,malaysia files criminal charges goldman sachs mdb probe hedge businessnews energy,"[32.40920344507118, 21.17244331309126, 1.1113322284588563]"
28,28,2019-01-02 23:35:11+00:00,goldmansachs farfetch malaysia thieves,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
29,29,2019-01-02 23:31:25+00:00,"pioneer natural resources present goldman sachs global energy conference commodities january ,","[13.030299133115744, 30.40189370522425, -11.753808599357207]"
30,30,2019-01-02 23:30:17+00:00,galaxy digital stock soars bitcoin bull mike novogratz increases stake galaxydigital bitcoin merchantbank hedgefund goldmansachs bitsmart,"[20.501368385932295, 40.55389345477889, -10.596841301506828]"
31,31,2019-01-02 23:26:43+00:00,"sethfriederman jessicaquillin goldmansachs farfetch no. kinda makes think this quote, roots deep there’s reason fear the wind. but maybe, much like many things right now, needs burn and rebuilt....","[55.73192198235166, 34.28531155078382, -10.570497950108958]"
32,32,2019-01-02 23:24:32+00:00,"goldmansachs ottolenghi wow, first cook book actually cooks you","[9.427742097866474, 15.54886964507196, -10.766223877899463]"
33,33,2019-01-03 23:58:03+00:00,andrewofharwood mikemol chesterfieldeu cornwalleu lowri turner citi jpmorgan morganstanley goldmansachs nomura rbs heading as well,"[-2.3348068370489186, -3.9021173742365574, -11.152802152397264]"
34,34,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
35,35,2019-01-03 23:56:01+00:00,"willbriggs drphiliplee yup i remember am starts, school started i think and projects; i remember using goldman sachs hong kong transport report form basis my primary transport project, goldman got b.","[34.41187435935992, 61.76497912065021, -8.18851862353877]"
36,36,2019-01-03 23:56:01+00:00,"apple sounded alarm a slowdown china. staying away these stocks could help avoid pain, goldman sachs says","[47.81043492731008, 30.45850726733046, -10.30103820785041]"
37,37,2019-01-03 23:45:10+00:00,"goldman sachs says apple have cut numbers even further, compares iphone maker nokia.","[6.4377224784058855, 7.101358955374444, -10.699714036137308]"
38,38,2019-01-03 23:44:45+00:00,"goldman sachs says apple have cut numbers even further, compares iphone maker nokia.","[6.4377224784058855, 7.101358955374444, -10.699714036137308]"
39,39,2019-01-03 23:44:10+00:00,"goldman sachs says apple have cut numbers even further, compares iphone maker nokia.","[6.4377224784058855, 7.101358955374444, -10.699714036137308]"
40,40,2019-01-03 23:39:23+00:00,goldman sachs needs explain apple shareholders....,"[7.4740944526962005, 6.02490584365507, -10.672748187298026]"
41,41,2019-01-03 23:38:22+00:00,goldmansachs same reason we drive car long distance opposed walk,"[7.449282000981758, 19.269940790337756, 1.6283646311948985]"
42,42,2019-01-03 23:36:13+00:00,"goldman december payrolls preview a brief excerpts note goldman sachs economists choi hill we estimate nonfarm payrolls increased k december, somewhat consensus k. our forecast reflects a modest slowdown the tr ...","[88.27270286426429, 78.73080472708516, 2.507778227795356]"
43,43,2019-01-03 23:33:13+00:00,icymi goldman sachs thinks apple could the next nokia lukedormehl,"[17.920575418449317, -2.573871365482717, -11.060634488192811]"
44,44,2019-01-04 23:58:33+00:00,"rt ontologynetwork binance st blockchain week in singapore month ontology be microsoft, goldman sachs, pwc, more. rt followers with binanceblockchainweek we give away free discounted tickets o…","[14.02600675403892, 2.328783472987538, -9.464928774715744]"
45,45,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
46,46,2019-01-04 23:56:49+00:00,throbssagetly lofi hop krossny sengillibrand i saying doesn really matter. hillary clinton gave speech goldman sachs and look that turned out....,"[52.404542797017534, 33.02699558979707, -10.201317114466235]"
47,47,2019-01-04 23:55:21+00:00,goldmansachs you need sell business you a bad agenda i seen,"[16.769928327519896, 27.395046163584375, -10.348758738455203]"
48,48,2019-01-04 23:53:43+00:00,"goldman sachs sex trafficking scandal now linked the ann romney, wife mitt romney now know boom","[42.30507893546855, 43.2705326040353, -9.196584304897812]"
49,49,2019-01-04 23:52:36+00:00,"institutional crypto adoption grows, but will big banks make splash ? banking news circle fidelity goldmansachs","[34.05383303838219, 44.8844856365619, 2.147637582377911]"
50,50,2019-01-04 23:51:49+00:00,gs goldman sachs group inc. option order flow sentiment . bullish.,"[29.296011382837968, 29.547610464819165, -10.45227731929787]"
51,51,2019-01-04 23:50:45+00:00,"hey, me favor. don’t give money gillibrand. morganstanley goldmansachs bankofamerica citi she’s very intelligent &amp; folks catch immediately. let’s be wasteful like happened texas, yes?","[52.86752566332412, 54.162009805910856, -9.265120854667387]"
52,52,2019-01-04 23:48:33+00:00,cant possibly imagine anyone would want charge my genome information than goldman sachs.,"[26.141809718476498, 9.502527003249938, -10.436483511675576]"
53,53,2019-01-04 23:45:32+00:00,goldman sachs report warns pharma companies that curing disease is bad for business,"[29.30256923555888, 21.41277068749303, 0.737798554090709]"
54,54,2019-01-04 23:44:06+00:00,marben my oracle financial orbit shahil asibiza notayesmansecon marxnd benbgatech ronniechopra elerianm theidleinvestor toddwenning robertstgeorge robertjshiller halsrethink ciovaccocapital thebubblebubble reformedbroker contrariansmind livesquawk michaelschuman nickbatsford cnbc reutersjamie m mcdonough jonsanchezshow marketwatch mattbird dianaepatterson brilliantleader zakstraderscafe cnbcnow ftvideo zerohedge bbcbusiness sentifi uk lordshipstrade nypost ichronicle simonlambert thisismoney goldmansachs rcwhalen paypal peterthiel economics hedgeye dlacalle ia portfadviser pcg a . billion mkt cap co. mt cnbcnow breaking pg&amp;e plunges reuters reports it exploring filing or of business bankruptcy protection it faces billions liabilities related fatal wildfires utility,"[127.70620266355031, 135.28266137031267, 4.808666847327075]"
55,55,2019-01-05 23:58:11+00:00,"meetthepress mickmulvaneyomb sensanders lindseygrahamsc meetthepress cnbc ft goldmansachs jpmorgan facethenation foxnews colbertlateshow snlupdate senategop trump mexico will be ""happy"" to pay for wall","[29.02540335171766, 28.63514002468125, -9.66333263317415]"
56,56,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
57,57,2019-01-05 23:31:10+00:00,amazingatheist the fight on she’s new york goldman sachs going lay handover top earners im not defending ultra rich bc can’t take on will get money she needs the working and middle class,"[24.62836319314484, 33.15690264733534, -7.989944914505898]"
58,58,2019-01-05 23:28:16+00:00,"kimdotcom george soros, rothchilds, ford s, goldman sachs....list goes n on.","[31.520416855330996, 11.02317499102736, 0.442115268376817]"
59,59,2019-01-05 23:13:36+00:00,mrjpublications pebbleslondon pharmtechtom lbc matthewstadlen the head goldman sachs president its europe investment devision resigned he t relocate ireland ... i guess recruiting someone else it now. you re really naive your assessment. but good luck that.,"[50.24136039133719, 38.369128423652214, 0.8472366562045153]"
60,60,2019-01-05 23:12:39+00:00,goldmansachs because sexism. next question.,"[-1.7401879804069573, 8.18515999007274, -11.08956198725945]"
61,61,2019-01-05 23:08:48+00:00,"ambarosie darren britainelects yougov i would suggest collapse freddie fanny us, the toxic borrowing companies as bear stearns/goldman sachs more an issue. also, the liquidity banks falls the remit the boe, was made independent the last labour govt.","[79.94807733278991, 96.65004102383988, 15.629133004670436]"
62,62,2019-01-05 23:06:32+00:00,remember neoliberals to neck this. goldman sachs their partners drug laundry the ultra right.,"[18.157645200761696, 30.734151639430806, -10.939173517102006]"
63,63,2019-01-05 22:59:50+00:00,frankruiz repcohen how ya ever going drain swamp all employs goldman sachs &amp; fox?,"[10.746585471227409, 8.561024865034248, -11.115925077835726]"
64,64,2019-01-05 22:53:02+00:00,cryptopoland circlepay circleinvest goldmansachs am afraid might right..,"[6.0452481757398155, -0.5406269562786581, -12.293781373827287]"
65,65,2019-01-05 22:39:43+00:00,the government goldman sachs,"[10.356517788309981, 10.250761795397802, -10.950627334600156]"
66,66,2019-01-06 23:59:15+00:00,goldman sachs misses out big alibaba payoff,"[7.00972837776136, 0.05142994483600871, -12.290162429860732]"
67,67,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
68,68,2019-01-06 23:52:00+00:00,"goldman cuts month copper target to ,/t from ,/t goldman sachs maintains month copper target at ,/ton hedged","[28.003776791876806, 28.936796022676518, -9.303800582274931]"
69,69,2019-01-06 23:51:26+00:00,goldman sachs asks what if lebanon is forced restructure debt,"[18.918949282139693, 1.1477761244409517, -0.19535187746529203]"
70,70,2019-01-06 23:43:18+00:00,"goldman sachs, want hold racks","[6.973710056978322, -1.9604649820075477, -11.039824506119084]"
71,71,2019-01-06 23:40:06+00:00,goldman sachs cuts oil forecasts; sees prices still undervalued goldman cuts brent forecast to ./b vs previously goldman cuts wti forecast to ./b vs . previously,"[111.85173569219778, 114.03294314960915, 4.213546782313287]"
72,72,2019-01-06 23:40:04+00:00,the one issue left right can agree on even tucker carlson goldman sachs talking the pernicious impact monopolies the u.s.,"[13.454217148750107, 17.625195852768428, -10.261739085708896]"
73,73,2019-01-06 23:29:55+00:00,"fl oil – goldman sachs cuts price forecasts january , pm","[32.541546851863515, 43.59310138387147, -10.187096931322387]"
74,74,2019-01-06 23:29:48+00:00,ryanicnn haydentiff upholdinc circleinvest because goldman sachs invests real blockchain projects a literal shitcoin,"[8.950468613510282, -0.4943855587621795, -11.942335609238405]"
75,75,2019-01-06 23:27:06+00:00,oil goldman sachs cuts price forecasts,"[33.57235425487686, 33.49191606994897, -10.41451974471287]"
