,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:56:07+00:00,santander,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
1,1,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
2,2,2018-12-31 23:55:48+00:00,santander,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
3,3,2018-12-31 23:53:57+00:00,santander,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
4,4,2018-12-31 23:53:12+00:00,santander,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
5,5,2018-12-31 23:38:31+00:00,santander,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
6,6,2018-12-31 23:35:21+00:00,santander account management project management,"[31.636013556837693, 30.862428191349863, -10.271418901072202]"
7,7,2018-12-31 23:30:29+00:00,"popeyeschicken i don’t know what’s going store bellaire, i tried pay with mastercard santander i saw the girl use card touched enter, enter... without asked for my pin number. for reason, she said my card wasn’t accepted.","[37.554919668436604, 33.98440155272256, 4.782852117657043]"
8,8,2018-12-31 23:11:49+00:00,memorias workshop red emprendesur en universidad de santander,"[9.79750613111936, 18.423571117468796, -11.021149497416474]"
9,9,2018-12-31 23:02:00+00:00,news flagstar bank acquire santander bank mortgage warehouse loan portfolio,"[32.91457249899262, 20.784186989153298, 1.3228771601667404]"
10,10,2018-12-31 22:37:17+00:00,where you january th? less two weeks away biggest names motorcycle quad ice racing be shredding ice the santander arena don’t miss the hottest night racing a halftime pyro stunt show the...,"[49.88253450688867, 60.915069757620316, -9.583192750745454]"
11,11,2019-01-01 23:22:52+00:00,santander antiguo,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
12,12,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
13,13,2019-01-01 23:03:04+00:00,new years days farce.. fact.. money went santander .pm tonight thats normal its wrong,"[16.014751755125676, 5.813474282053718, -10.619665393380401]"
14,14,2019-01-01 22:48:03+00:00,erste grp bk a/s otcmkts ebkdy banco santander san critical review – baseball daily news – santander bank,"[39.87093702966265, 29.955320034166192, 1.7123721126535685]"
15,15,2019-01-01 22:45:05+00:00,the latest el diario de amanoticias thanks gaby santander o alexndr historias perunews,"[-0.2311284644325895, 24.232760510390886, -12.779284674344368]"
16,16,2019-01-01 22:24:11+00:00,"fantastic, santander said s fraudulent transaction attempted otherwise made my account. no pending transactions, etc.","[52.383815844642086, 43.5702961175878, 2.2694278050923344]"
17,17,2019-01-01 22:20:05+00:00,cheshirexrp famemoore paisan hameggsn xrpboss isn’t santander going live month?,"[-2.4326154394950086, -2.5455201079909107, -11.100012572917425]"
18,18,2019-01-01 22:13:24+00:00,a series technical analyses random guesses suggest consider selling santander consumer usa inc. sc invest,"[52.25126726714889, 62.20986152392008, -10.066108508863195]"
19,19,2019-01-01 22:09:28+00:00,"golden hour en santander, colombia","[30.504301319743234, 21.46476576509954, -10.97026705587038]"
20,20,2019-01-01 22:02:58+00:00,santander y “los malandrines follones”,"[-1.5564345625528297, -0.9437255669207745, -11.493683734296297]"
21,21,2019-01-01 21:37:19+00:00,karadidomizio kalitravel pennycoffee sundaysunsets roarloudtravel alwaysstar cant infinita latierruca north spain so beautiful karadidomizio spend part the year santander cantabria i still dont get used it... amazing,"[6.890904065315856, 14.444667766031415, -12.918799946656037]"
22,22,2019-01-02 23:53:28+00:00,"anticipated . eps banco santander chile bsac of january, – the en bulletin – santander bank","[31.154445818780392, 20.924469323331827, -10.591321119700183]"
23,23,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
24,24,2019-01-02 23:40:07+00:00,"bound together our beliefs are like minded individuals sharing common visión a great friend. en bucaramanga, santander","[11.835105051342513, 25.430880441941355, -12.366525922698386]"
25,25,2019-01-02 23:13:20+00:00,santanderukhelp hi i’m looking switching lite account. does alliance leicester mortgage count a santander mortgage get cash back it? thank,"[74.96192805249129, 30.573421073698427, 12.501227127254722]"
26,26,2019-01-02 23:00:17+00:00,"santander been sending letters months offering balance transfers i thought lemme give a try. not me transfer existing balance, to transfer balances to i already have. sellouts.","[46.65370701544875, 82.25203710597512, -8.338440363810449]"
27,27,2019-01-02 22:37:50+00:00,"rowanwcroft renuagalwayeast santander northern spain has ferry route cork, vehicles","[32.19891830953691, 33.14762497329414, -10.253293094147296]"
28,28,2019-01-02 22:37:04+00:00,santander online again,"[-3.570749259906971, -2.311887667845895, -11.046573804003458]"
29,29,2019-01-02 22:35:09+00:00,scanx notable movers interest banco santander brasil bsbr pushes two month highs brazilian stocks...,"[10.3584238961364, 9.219390215399109, -10.800365683551377]"
30,30,2019-01-02 22:34:48+00:00,"the best coffee ️ the best cup halamadrid realmadrid marcelom sergioramos bucaramanga, santander","[0.14121530794544124, 4.208356170458508, -12.730330279827697]"
31,31,2019-01-02 22:32:48+00:00,"askbankofscot trying use new open banking support app can add account. looks like redirect back santander t take back the bofs app, it fails i only logged the app – s ""login required"" in the url. can advise?","[52.48483924542602, 61.14032219734976, -7.0810397844466735]"
32,32,2019-01-02 22:23:14+00:00,santander business online banking wednesdaywisdom blog article business onlinebanking tips technology,"[26.89875427582977, 58.160233102748336, -8.83920800805258]"
33,33,2019-01-03 23:58:59+00:00,al bate anthony santander | tigres – leones | inning | out |,"[6.345888889114353, 2.3638863190798953, -12.17744881122897]"
34,34,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
35,35,2019-01-03 23:48:49+00:00,ji mgt alisonmckay vo levytracyl coachbriancan pmgweb about wee cafe next old santander building has small upstairs section. university cafe im fine,"[59.66520035756529, 50.450191852149686, 2.827595072274036]"
36,36,2019-01-03 23:42:06+00:00,"rosalinda rodriguez takes liliana martinez the uba bantamweight title saturday, january th santander arena reading, pa","[43.99252975202952, 54.46927171112804, -9.726027334919507]"
37,37,2019-01-03 23:37:38+00:00,it incredibly easy earn referring friends family to santander bank.,"[24.451200861754042, 21.901278980044765, -1.108514350288118]"
38,38,2019-01-03 23:29:40+00:00,so today learned santander a spanish bank...who hour ahead nis time zone...which means get paid hour midnight payday ??? how haven’t i noticed before ??? so fascinated,"[50.72448688274927, 28.04435631402019, -9.676690340441908]"
39,39,2019-01-03 23:21:41+00:00,he comido el . santander,"[-0.421443430146492, -0.15230041115864568, -12.34109195709635]"
40,40,2019-01-03 23:14:37+00:00,. santander,"[-1.031826799272243, -0.7977716542976956, -11.676821950996809]"
41,41,2019-01-03 23:02:27+00:00,melinagzl estefanira logic,"[8.924284140945899, 8.82630201901136, -11.088218626188134]"
42,42,2019-01-03 22:42:28+00:00,"bettingtips blogabet betscore freetips ️ ️ ️ liga santander ️villarreal cf r. madrid . over . goals / . corner / , uds","[59.89518843481714, 35.88720228923257, -10.120331894633097]"
43,43,2019-01-03 22:41:06+00:00,bettingtips blogabet betscore freetips ️ ️ ️ liga santander ️villarreal cf r. madrid . over corners ah sthalf / . over cards ah / . madrid over . corners / . over . corners / . uds,"[71.56737234497668, 46.07348446774867, -9.282451433307315]"
44,44,2019-01-04 23:55:00+00:00,"colmtobin a years ago did santander, bilbao san sebastián. santander nice our least favourite three there wasn’t much do bad weather. loved the other two that part spain stunning.","[24.253998798397834, 19.770129609389798, -13.844839383585551]"
45,45,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
46,46,2019-01-04 23:53:52+00:00,"santander hires retail chief, trump v. powell, future housing finance top stories","[33.019898861606734, 30.248954412583284, -11.059450031610965]"
47,47,2019-01-04 23:42:37+00:00,recorriendo santander,"[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
48,48,2019-01-04 23:36:08+00:00,there’s still time get the santander arena start weekend some readingroyals hockey,"[17.955127604251178, 8.171967712510948, -10.18229444564453]"
49,49,2019-01-04 23:32:31+00:00,santanderukhelp help. the santander app hasn’t working a week now. others i know the issue slow loading. is a fix?,"[14.3453416416118, 30.354906650928257, -10.816467216213951]"
50,50,2019-01-04 23:28:11+00:00,"ea gzaro why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?.","[47.076647666484355, 22.668905019745594, 1.6944018672052152]"
51,51,2019-01-04 23:28:05+00:00,"ea gzaro why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?","[47.076647666484355, 22.668905019745594, 1.6944018672052152]"
52,52,2019-01-04 23:27:44+00:00,"eacoreysa why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?.","[35.196776186085806, 20.84674319773096, -10.185469613193334]"
53,53,2019-01-04 23:27:34+00:00,"eacoreysa why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?","[35.196776186085806, 20.84674319773096, -10.185469613193334]"
54,54,2019-01-04 23:25:41+00:00,colmtobin santander? you must getting ferry cork,"[21.154929476069086, 21.177583894268555, -10.339788834980823]"
55,55,2019-01-05 23:37:28+00:00,tellerapi hi. i trying connect santander account teller account just get internal server error i enter my mobile banking id hit next. a problem their end?,"[138.43877912535655, 67.60262551182417, -8.388755810313953]"
56,56,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
57,57,2019-01-05 23:11:11+00:00,"mariasrodriguez tona, santander","[-1.163827870224604, -1.2618099921591441, -11.483060127935218]"
58,58,2019-01-05 23:00:05+00:00,hasil lengkap tadi malam ft australia hyundai a league january adelaide united vs wellington phoenix fc western sydney wanderers fc vs melbourne victory spain laliga santander january real valladolid ...,"[113.09539162029637, 161.95100632041053, 5.128880303140662]"
