,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-01 23:58:11+00:00,breaking joke christmas letter the alphabet letters wasn’t joke. hammer forgot many letters in the alphabet.,"[37.42237336455407, 51.19364733534169, -10.004527939096107]"
1,1,2020-10-28 21:54:28+00:00,we need help what carbon fiber project we next? maybe workshop countertop? or it a custom computer desk? we’ll show for free to make own using stone coat epoxy stonecoatcountertops epoxy diy carbonfiber,"[61.07332697262111, 71.4773952578365, 2.832428183824547]"
2,2,2019-01-01 23:56:42+00:00,"theboz seanparnellusa if include good night moon, chicka chicka boom boom alphabet books, can easily make to ,,, books read .","[52.633924713560866, 50.391754704091, -10.032854448595955]"
3,3,2019-01-01 23:48:04+00:00,realbohendy williamlegate realdealchaos tommarino genaray realdonaldtrump barackobama i could eat bowl alphabet soup crap a coherent tweet,"[18.25404557684178, 19.395759974986788, -9.973704032061605]"
4,4,2019-01-01 23:46:02+00:00,back to work tomorrow only to find train prices have gone up and my wages haven’t fuckthetories bants whatajoke,"[11.099923021904065, -2.8626162941061044, 2.4096220534188575]"
5,5,2019-01-01 23:40:19+00:00,if i need listen the alphabet pledge than i die,"[15.858460841337337, 9.792262485986669, -10.832255323379876]"
6,6,2019-01-01 23:39:35+00:00,"takethatmorals jeanengel felicia peppi dewywolfgang rusalka freepal ironicjew into wildwildwoody mmayerhoff iluvdemocracy gabby werner baroniesisters cardsharpninja hands derek hatzfardea yoni yonder judgefudge ahmed cosfot ellyngail sammynoor stscholasticas dezi sagypm gamemommanuela callyboo hudsakeenah dlsmith nashabrykha amirnineveh cambridgecaucus savtah scripteladora evtsvi garybkatz flaxc popay jonsolomonsc lanceforfrances bethvaughan zimmlaw njallday israeltruth amerikagulag paulmurff pizzagatelibya tvigy technically yehuda shomron, don have j out alphabet. that roman. just like jesus name actually yeshua.","[61.39351633255669, 51.724268895944064, 2.9592860741105653]"
7,7,2019-01-01 23:37:35+00:00,being able recite alphabet backwards my greatest strength,"[22.94823258328378, 31.712017108082833, -11.732650351928882]"
8,8,2019-01-01 23:37:32+00:00,things getting the microscope fb alphabet how apps android share data facebook facebook android what you guys think this?,"[35.73259199517717, 27.692667976979948, -8.747364280338488]"
9,9,2019-01-01 23:35:39+00:00,"in , i learned lot particles systems dynamics mainly fun octane render cinemad listening pop music here my musical alphabet daysoftype maxond","[11.649966839098571, 40.69481545730841, -0.023742915898949946]"
